Unnamed: 0,product_name,url,categories,proteins_100g,fat_100g,saturated-fat_100g,sodium_100g,fruits-vegetables-nuts-dried_100g,carbohydrates_100g,salt_100g,sugars_100g,fiber_100g,energy-kcal_100g,alcohol_100g,nutrition-score-fr_100g
786748,Undefined,http://world-en.openfoodfacts.org/product/3662014170208,Undefined,8466.0,28.0,96.0,0.0,0.0,86.0,0.0,56.0,0.0,356.0,55.0,0.0
926380,whey chocolat,http://world-en.openfoodfacts.org/product/4250350518458/whey-chocolat-body-attack,"Compléments alimentaires, Compléments pour le Bodybuilding, Protéines en poudre",110.0,21.3,12.0,0.933,0.0,56.0,2.33,54.0,0.0,3570.0,0.0,40.0
483236,Barquette gratons,http://world-en.openfoodfacts.org/product/2424910012270/barquette-gratons-porc-71,Viande. gratins porc,28.0,656.0,266.0,0.456,0.0,0.0,1.14,0.0,0.0,2992.0,0.0,0.0
503371,olives sauce pistou,http://world-en.openfoodfacts.org/product/2609867016407/olives-sauce-pistou-grand-frais,Undefined,15.0,220.0,28.0,0.1376,0.0,44.0,0.344,5.0,0.0,0.0,0.0,0.0
535638,Sushi passion,http://world-en.openfoodfacts.org/product/3038682099019/sushi-passion-comptoir-sushi,"Plats préparés,Sushis et makis,Sushis",5.6,670.0,2.1,0.76,0.0,20.0,1.9,2.3,0.0,665.0,0.0,11.0
611858,Sprits au beurre,http://world-en.openfoodfacts.org/product/3258561021225/sprits-au-beurre-belle-france,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Shortbread cookies, Sprits",25.0,128.0,85.9,1.36,0.0,274.0,3.41,90.5,0.0,0.0,0.0,40.0
865125,Oltremonti Galoppa Extra Virgin Olive Oil,http://world-en.openfoodfacts.org/product/3770007227676/oltremonti-galoppa-extra-virgin-olive-oil,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Produits de l'olivier, Matières grasses végétales, Huiles, Huiles d'olive, Huiles d'olive vierges extra",0.0,109.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4105.0,0.0,6.0
992097,Undefined,http://world-en.openfoodfacts.org/product/5060419890543,Undefined,66.7,153.0,24.3,0.933,0.0,86.7,2.33,19.3,0.0,8300.0,0.0,0.0
1174130,Jambon cru,http://world-en.openfoodfacts.org/product/8028257014313/jambon-cru-negroni,Undefined,28.0,185.1,6.4,0.002,0.0,0.0,0.005,0.0,0.0,1146.0,0.0,0.0
1340218,abrikoos fruitspread,http://world-en.openfoodfacts.org/product/8718452325191/abrikoos-fruitspread-jumbo,e129,0.3,482.0,17.0,0.016,0.0,26.7,0.04,26.6,1.3,473.0,0.0,15.0
408930,cervelas de volaille 100%poulet,http://world-en.openfoodfacts.org/product/17226608/cervelas-de-volaille-100-poulet-pierre-schmidt,"Viandes, Charcuteries",14.0,17.0,213.0,0.0006799999999999999,0.0,0.9,0.0017,0.7,0.0,891.0,0.0,12.0
